080713-172002;{'temp':34.50,'hum':20.80}
080713-172101;{'temp':33.40,'hum':22.80}
080713-172201;{'temp':32.60,'hum':23.00}
080713-172302;{'temp':32.50,'hum':23.40}
080713-172401;{'temp':32.50,'hum':22.90}
080713-172502;{'temp':32.10,'hum':23.90}
080713-172602;{'temp':32.00,'hum':24.00}
080713-172701;{'temp':31.80,'hum':23.40}
080713-172802;{'temp':31.20,'hum':24.50}
080713-172902;{'temp':30.80,'hum':24.90}
080713-173001;{'temp':29.50,'hum':25.90}
080713-173102;{'temp':28.70,'hum':26.20}
080713-173201;{'temp':28.50,'hum':27.10}
080713-173301;{'temp':28.30,'hum':27.70}
080713-173402;{'temp':28.50,'hum':27.00}
080713-173501;{'temp':28.40,'hum':27.20}
080713-173601;{'temp':28.30,'hum':28.10}
080713-173702;{'temp':27.90,'hum':28.00}
080713-173801;{'temp':27.60,'hum':29.30}
080713-173902;{'temp':27.20,'hum':30.00}
080713-174002;{'temp':27.10,'hum':30.50}
080713-174101;{'temp':26.90,'hum':30.00}
080713-174202;{'temp':26.60,'hum':31.00}
080713-174302;{'temp':26.30,'hum':30.40}
080713-174401;{'temp':26.40,'hum':31.40}
080713-174502;{'temp':26.60,'hum':32.20}
080713-174601;{'temp':26.60,'hum':30.80}
080713-174701;{'temp':26.60,'hum':29.80}
080713-174802;{'temp':26.40,'hum':30.20}
080713-174901;{'temp':26.20,'hum':30.50}
080713-175002;{'temp':26.00,'hum':31.00}
080713-175102;{'temp':25.40,'hum':32.20}
080713-175201;{'temp':25.00,'hum':32.20}
080713-175302;{'temp':24.90,'hum':33.00}
080713-175402;{'temp':24.40,'hum':34.80}
080713-175501;{'temp':24.10,'hum':37.10}
080713-175602;{'temp':24.00,'hum':36.10}
080713-175701;{'temp':23.70,'hum':36.40}
080713-175801;{'temp':23.60,'hum':36.60}
080713-175902;{'temp':23.50,'hum':37.50}
080713-180002;{'temp':23.50,'hum':35.90}
080713-180101;{'temp':23.50,'hum':34.80}
080713-180202;{'temp':23.30,'hum':36.70}
080713-180302;{'temp':23.10,'hum':36.40}
080713-180401;{'temp':23.20,'hum':36.60}
080713-180502;{'temp':23.30,'hum':39.10}
080713-180601;{'temp':23.30,'hum':37.40}
080713-180701;{'temp':23.10,'hum':37.40}
080713-180802;{'temp':22.90,'hum':36.70}
080713-180901;{'temp':22.90,'hum':38.30}
080713-181002;{'temp':22.90,'hum':37.70}
080713-181102;{'temp':22.90,'hum':38.20}
080713-181201;{'temp':22.80,'hum':39.80}
080713-181301;{'temp':22.80,'hum':39.50}
080713-181402;{'temp':22.80,'hum':40.30}
080713-181502;{'temp':22.80,'hum':40.30}
080713-181601;{'temp':22.60,'hum':40.00}
080713-181702;{'temp':22.50,'hum':41.50}
080713-181802;{'temp':22.60,'hum':39.60}
080713-181901;{'temp':22.70,'hum':37.10}
080713-182002;{'temp':22.70,'hum':34.70}
080713-182102;{'temp':22.50,'hum':34.80}
080713-182201;{'temp':22.40,'hum':35.00}
080713-182302;{'temp':22.30,'hum':36.90}
080713-182401;{'temp':22.10,'hum':37.00}
080713-182501;{'temp':21.90,'hum':38.00}
080713-182602;{'temp':21.70,'hum':39.00}
080713-182701;{'temp':21.70,'hum':39.70}
080713-182802;{'temp':21.50,'hum':39.90}
080713-182902;{'temp':21.40,'hum':40.20}
080713-183001;{'temp':21.40,'hum':42.70}
080713-183102;{'temp':21.30,'hum':41.70}
080713-183202;{'temp':21.30,'hum':40.50}
080713-183301;{'temp':21.30,'hum':41.60}
080713-183402;{'temp':21.40,'hum':41.50}
080713-183502;{'temp':21.40,'hum':42.90}
080713-183601;{'temp':21.30,'hum':41.40}
080713-183702;{'temp':21.30,'hum':42.10}
080713-183802;{'temp':21.50,'hum':41.30}
080713-183901;{'temp':21.40,'hum':41.80}
080713-184002;{'temp':22.10,'hum':39.70}
080713-184101;{'temp':22.10,'hum':39.80}
080713-184201;{'temp':22.10,'hum':39.70}
080713-184302;{'temp':21.90,'hum':39.40}
080713-184401;{'temp':21.90,'hum':40.90}
080713-184501;{'temp':22.10,'hum':40.80}
080713-184602;{'temp':22.40,'hum':41.80}
080713-184701;{'temp':22.30,'hum':43.00}
080713-184801;{'temp':21.80,'hum':44.50}
080713-184902;{'temp':21.70,'hum':44.90}
080713-185001;{'temp':21.60,'hum':46.40}
080713-185102;{'temp':21.50,'hum':47.30}
080713-185202;{'temp':21.40,'hum':46.20}
080713-185301;{'temp':21.10,'hum':48.60}
080713-185402;{'temp':21.00,'hum':49.90}
080713-185502;{'temp':20.90,'hum':50.30}
080713-185601;{'temp':20.80,'hum':49.80}
080713-185702;{'temp':20.70,'hum':50.80}
080713-185802;{'temp':20.60,'hum':49.80}
080713-185901;{'temp':20.50,'hum':51.50}
080713-190002;{'temp':20.30,'hum':52.30}
080713-190101;{'temp':20.20,'hum':54.30}
080713-190201;{'temp':20.10,'hum':53.20}
080713-190302;{'temp':20.00,'hum':54.50}
080713-190401;{'temp':19.90,'hum':54.00}
080713-190502;{'temp':19.70,'hum':54.60}
080713-190602;{'temp':19.60,'hum':54.20}
080713-190701;{'temp':19.50,'hum':53.90}
080713-190802;{'temp':19.50,'hum':54.20}
080713-190902;{'temp':19.50,'hum':52.70}
080713-191001;{'temp':19.50,'hum':53.10}
080713-191102;{'temp':19.30,'hum':52.70}
080713-191202;{'temp':19.30,'hum':51.90}
080713-191301;{'temp':19.20,'hum':52.60}
080713-191402;{'temp':19.10,'hum':51.50}
080713-191501;{'temp':19.00,'hum':52.20}
080713-191601;{'temp':19.00,'hum':52.10}
080713-191702;{'temp':19.00,'hum':52.40}
080713-191801;{'temp':18.90,'hum':53.60}
080713-191901;{'temp':18.70,'hum':54.80}
080713-192002;{'temp':18.60,'hum':55.70}
080713-192101;{'temp':18.50,'hum':55.30}
080713-192201;{'temp':18.30,'hum':56.50}
080713-192302;{'temp':18.30,'hum':57.10}
080713-192401;{'temp':18.30,'hum':56.70}
080713-192502;{'temp':18.20,'hum':57.10}
080713-192602;{'temp':18.20,'hum':57.20}
080713-192701;{'temp':18.20,'hum':55.80}
080713-192802;{'temp':18.10,'hum':56.40}
080713-192902;{'temp':18.10,'hum':57.00}
080713-193001;{'temp':18.10,'hum':57.50}
080713-193102;{'temp':18.00,'hum':57.70}
080713-193202;{'temp':18.00,'hum':57.10}
080713-193301;{'temp':18.00,'hum':57.30}
080713-193402;{'temp':17.90,'hum':57.40}
080713-193502;{'temp':18.00,'hum':54.80}
080713-193601;{'temp':17.90,'hum':54.70}
080713-193702;{'temp':17.90,'hum':54.00}
080713-193801;{'temp':17.80,'hum':54.20}
080713-193901;{'temp':17.70,'hum':54.10}
080713-194002;{'temp':17.70,'hum':54.30}
080713-194101;{'temp':17.70,'hum':54.70}
080713-194202;{'temp':17.70,'hum':55.10}
080713-194302;{'temp':17.70,'hum':54.90}
080713-194401;{'temp':17.70,'hum':54.60}
080713-194502;{'temp':17.60,'hum':54.50}
080713-194602;{'temp':17.60,'hum':54.40}
080713-194701;{'temp':17.50,'hum':55.00}
080713-194802;{'temp':17.50,'hum':55.00}
080713-194902;{'temp':17.50,'hum':55.30}
080713-195001;{'temp':17.40,'hum':55.10}
080713-195102;{'temp':17.30,'hum':56.20}
080713-195202;{'temp':17.20,'hum':56.80}
080713-195301;{'temp':17.20,'hum':56.30}
080713-195402;{'temp':17.20,'hum':57.90}
080713-195501;{'temp':17.20,'hum':55.60}
080713-195601;{'temp':17.20,'hum':56.70}
080713-195702;{'temp':17.10,'hum':58.10}
080713-195801;{'temp':17.10,'hum':58.00}
080713-195902;{'temp':17.10,'hum':58.10}
080713-200002;{'temp':17.10,'hum':58.10}
080713-200101;{'temp':17.00,'hum':59.50}
080713-200202;{'temp':17.00,'hum':59.80}
080713-200302;{'temp':17.00,'hum':61.20}
080713-200401;{'temp':16.90,'hum':62.50}
080713-200502;{'temp':16.90,'hum':63.30}
080713-200601;{'temp':16.80,'hum':61.00}
080713-200701;{'temp':16.80,'hum':59.30}
080713-200802;{'temp':16.80,'hum':58.40}
080713-200901;{'temp':16.90,'hum':57.40}
080713-201002;{'temp':16.90,'hum':58.90}
080713-201102;{'temp':16.70,'hum':62.20}
080713-201201;{'temp':16.50,'hum':63.30}
080713-201302;{'temp':16.30,'hum':63.00}
080713-201402;{'temp':16.30,'hum':63.10}
080713-201501;{'temp':16.20,'hum':62.70}
080713-201601;{'temp':16.20,'hum':62.00}
080713-201702;{'temp':16.20,'hum':62.40}
080713-201801;{'temp':16.20,'hum':62.30}
080713-201902;{'temp':16.20,'hum':59.10}
080713-202002;{'temp':16.20,'hum':59.50}
080713-202101;{'temp':16.30,'hum':61.10}
080713-202202;{'temp':16.30,'hum':60.00}
080713-202302;{'temp':16.30,'hum':58.60}
080713-202401;{'temp':16.20,'hum':59.40}
080713-202502;{'temp':16.20,'hum':59.40}
080713-202601;{'temp':16.20,'hum':59.10}
080713-202701;{'temp':16.20,'hum':59.10}
080713-202802;{'temp':16.10,'hum':59.50}
080713-202901;{'temp':16.10,'hum':58.30}
080713-203002;{'temp':16.00,'hum':58.60}
080713-203102;{'temp':15.90,'hum':58.90}
080713-203201;{'temp':15.90,'hum':59.90}
080713-203302;{'temp':15.90,'hum':60.40}
080713-203402;{'temp':15.80,'hum':60.10}
080713-203501;{'temp':15.80,'hum':59.50}
080713-203602;{'temp':15.80,'hum':60.60}
080713-203701;{'temp':15.80,'hum':59.70}
080713-203801;{'temp':15.70,'hum':59.90}
080713-203902;{'temp':15.70,'hum':60.10}
080713-204001;{'temp':15.60,'hum':60.20}
080713-204102;{'temp':15.50,'hum':60.50}
080713-204202;{'temp':15.50,'hum':60.60}
080713-204301;{'temp':15.50,'hum':60.70}
080713-204402;{'temp':15.40,'hum':60.40}
080713-204502;{'temp':15.30,'hum':61.30}
080713-204601;{'temp':15.20,'hum':61.40}
080713-204702;{'temp':15.20,'hum':61.80}
080713-204802;{'temp':15.10,'hum':61.90}
080713-204901;{'temp':15.10,'hum':62.20}
080713-205002;{'temp':15.00,'hum':62.20}
080713-205101;{'temp':14.90,'hum':62.30}
080713-205202;{'temp':14.90,'hum':62.30}
080713-205302;{'temp':14.90,'hum':62.00}
080713-205401;{'temp':14.90,'hum':62.30}
080713-205502;{'temp':14.90,'hum':62.60}
080713-205602;{'temp':14.90,'hum':62.80}
080713-205701;{'temp':14.90,'hum':63.30}
080713-205802;{'temp':14.90,'hum':63.40}
080713-205902;{'temp':14.90,'hum':63.80}
080713-210001;{'temp':14.80,'hum':64.00}
080713-210102;{'temp':14.80,'hum':63.90}
080713-210201;{'temp':14.70,'hum':64.60}
080713-210302;{'temp':14.70,'hum':64.30}
080713-210402;{'temp':14.70,'hum':64.10}
080713-210501;{'temp':14.70,'hum':63.90}
080713-210602;{'temp':14.60,'hum':64.30}
080713-210702;{'temp':14.60,'hum':64.50}
080713-210801;{'temp':14.60,'hum':64.50}
080713-210902;{'temp':14.60,'hum':64.40}
080713-211002;{'temp':14.60,'hum':64.50}
080713-211101;{'temp':14.60,'hum':64.60}
080713-211202;{'temp':14.60,'hum':64.80}
080713-211301;{'temp':14.50,'hum':65.30}
080713-211402;{'temp':14.50,'hum':64.80}
080713-211502;{'temp':14.50,'hum':64.90}
080713-211601;{'temp':14.50,'hum':64.80}
080713-211702;{'temp':14.50,'hum':65.00}
080713-211802;{'temp':14.50,'hum':65.40}
080713-211901;{'temp':14.40,'hum':65.60}
080713-212002;{'temp':14.40,'hum':65.70}
080713-212102;{'temp':14.40,'hum':65.80}
080713-212201;{'temp':14.40,'hum':66.60}
080713-212302;{'temp':14.30,'hum':66.10}
080713-212401;{'temp':14.20,'hum':66.30}
080713-212502;{'temp':14.20,'hum':65.80}
080713-212602;{'temp':14.20,'hum':65.90}
080713-212701;{'temp':14.20,'hum':66.50}
080713-212802;{'temp':14.20,'hum':66.00}
080713-212902;{'temp':14.10,'hum':66.70}
080713-213001;{'temp':14.10,'hum':65.80}
080713-213102;{'temp':14.20,'hum':65.80}
080713-213202;{'temp':14.10,'hum':65.80}
080713-213301;{'temp':14.10,'hum':66.20}
080713-213402;{'temp':14.00,'hum':67.40}
080713-213501;{'temp':13.90,'hum':67.60}
080713-213601;{'temp':13.80,'hum':68.50}
080713-213702;{'temp':13.60,'hum':68.70}
080713-213801;{'temp':13.50,'hum':68.90}
080713-213902;{'temp':13.50,'hum':69.60}
080713-214002;{'temp':13.40,'hum':70.10}
080713-214101;{'temp':13.40,'hum':69.90}
080713-214202;{'temp':13.40,'hum':69.80}
080713-214302;{'temp':13.40,'hum':69.30}
080713-214401;{'temp':13.40,'hum':68.70}
080713-214502;{'temp':13.40,'hum':68.60}
080713-214602;{'temp':13.40,'hum':68.10}
080713-214701;{'temp':13.50,'hum':68.30}
080713-214802;{'temp':13.50,'hum':68.20}
080713-214902;{'temp':13.40,'hum':69.20}
080713-215001;{'temp':13.40,'hum':69.30}
080713-215102;{'temp':13.40,'hum':69.10}
080713-215202;{'temp':13.40,'hum':69.10}
080713-215301;{'temp':13.30,'hum':69.30}
080713-215402;{'temp':13.30,'hum':69.50}
080713-215502;{'temp':13.20,'hum':70.30}
080713-215802;{'temp':13.00,'hum':71.00}
080713-215901;{'temp':12.90,'hum':70.80}
080713-220001;{'temp':12.70,'hum':71.00}
080713-220102;{'temp':12.50,'hum':71.90}
080713-220402;{'temp':12.20,'hum':72.40}
080713-220502;{'temp':12.10,'hum':72.60}
080713-220601;{'temp':12.10,'hum':73.00}
080713-220702;{'temp':12.00,'hum':73.30}
080713-220802;{'temp':12.00,'hum':73.10}
080713-220901;{'temp':12.00,'hum':73.40}
080713-221002;{'temp':11.80,'hum':74.20}
080713-221102;{'temp':11.70,'hum':75.00}
080713-221201;{'temp':11.80,'hum':75.00}
080713-221302;{'temp':11.80,'hum':74.50}
080713-221402;{'temp':11.80,'hum':74.50}
080713-221501;{'temp':11.70,'hum':74.60}
080713-221602;{'temp':11.60,'hum':74.80}
080713-221702;{'temp':11.60,'hum':74.90}
080713-221801;{'temp':11.50,'hum':75.40}
080713-221902;{'temp':11.50,'hum':75.30}
080713-222002;{'temp':11.40,'hum':75.20}
080713-222101;{'temp':11.30,'hum':75.90}
080713-222202;{'temp':11.20,'hum':76.90}
080713-222302;{'temp':11.20,'hum':76.80}
080713-222401;{'temp':11.20,'hum':76.90}
080713-222501;{'temp':11.20,'hum':76.80}
080713-222602;{'temp':11.20,'hum':77.20}
080713-222701;{'temp':11.20,'hum':76.80}
080713-222801;{'temp':11.20,'hum':76.40}
080713-222902;{'temp':11.20,'hum':76.50}
080713-223002;{'temp':11.00,'hum':76.40}
080713-223101;{'temp':11.00,'hum':77.00}
080713-223202;{'temp':11.00,'hum':77.10}
080713-223302;{'temp':11.00,'hum':77.10}
080713-223401;{'temp':11.00,'hum':76.90}
080713-223502;{'temp':11.00,'hum':76.90}
080713-223602;{'temp':10.90,'hum':77.10}
080713-223701;{'temp':10.80,'hum':77.70}
080713-223802;{'temp':10.80,'hum':78.60}
080713-223902;{'temp':10.80,'hum':78.50}
080713-224001;{'temp':10.70,'hum':77.70}
080713-224102;{'temp':10.70,'hum':77.60}
080713-224202;{'temp':10.70,'hum':78.00}
080713-224301;{'temp':10.60,'hum':78.00}
080713-224401;{'temp':10.60,'hum':77.80}
080713-224502;{'temp':10.60,'hum':77.90}
080713-224601;{'temp':10.70,'hum':78.10}
080713-224701;{'temp':10.70,'hum':78.50}
080713-224802;{'temp':10.70,'hum':78.70}
080713-224901;{'temp':10.70,'hum':78.70}
080713-225001;{'temp':10.70,'hum':78.70}
080713-225102;{'temp':10.70,'hum':78.50}
080713-225202;{'temp':10.80,'hum':78.00}
080713-225301;{'temp':10.80,'hum':77.90}
080713-225403;{'temp':10.90,'hum':78.10}
080713-225502;{'temp':10.90,'hum':78.10}
080713-225602;{'temp':10.90,'hum':78.20}
080713-225701;{'temp':10.90,'hum':78.50}
080713-225802;{'temp':10.90,'hum':78.40}
080713-225902;{'temp':10.90,'hum':78.10}
